syscall number	sysnopsis
48	int shutdown(int sockfd, int how); 
49	int bind(int sockfd, const struct sockaddr *addr, socklen_t addrlen);
50	int listen(int sockfd, int backlog);
51	int getsockname(int sockfd, struct sockaddr *restrict addr, socklen_t *restrict addrlen);
52	int getpeername(int sockfd, struct sockaddr *restrict addr, socklen_t *restrict addrlen);
53	int socketpair(int domain, int type, int protocol, int sv[2]);
54	int setsockopt(int socket, int level, int option_name, const void *option_value, socklen_t option_len);
55	int getsockopt(int sockfd, int level, int optname, void optval[restrict *.optlen], socklen_t *restrict optlen);
56	int clone(int (*fn)(void *_Nullable), void *stack, int flags, void *_Nullable arg, ...  /* pid_t *_Nullable parent_tid, void *_Nullable tls, pid_t *_Nullable child_tid */ );
57	pid_t fork(void);
58	pid_t vfork(void); 
59	int execve(const char *pathname, char *const _Nullable argv[], char *const _Nullable envp[]);
60	void _exit(int status);
61	pid_t wait4(pid_t pid, int *_Nullable wstatus, int options, struct rusage *_Nullable rusage);
62	int kill(pid_t pid, int sig);
63	int uname(struct utsname *buf);
64	int semget(key_t key, int nsems, int semflg);
65	int semop(int semid, struct sembuf *sops, size_t nsops);
66	int semctl(int semid, int semnum, int op, ...);
67	int shmdt(const void *shmaddr);
68	int msgget(key_t key, int msgflg);
69	int msgsnd(int msqid, const void *msgp, size_t msgsz, int msgflg);
70	int msgctl(int msqid, int op, struct msqid_ds *buf);
71	int msgctl(int msqid, int op, struct msqid_ds *buf);
72	int fcntl(int fd, int op, ... /* arg */ );
73	int flock(int fd, int op);
74	int fsync(int fd);
75	int fdatasync(int fd);
76	int truncate(const char *path, off_t length);
77	int ftruncate(int fd, off_t length);
78	long syscall(SYS_getdents, unsigned int fd, struct linux_dirent *dirp, unsigned int count);
79	char *getcwd(char buf[.size], size_t size);
80	int chdir(const char *path);
81	int fchdir(int fd);
82	int rename(const char *oldpath, const char *newpath);
83	int mkdir(const char *pathname, mode_t mode);
84	int rmdir(const char *pathname);
85	int creat(const char *path, mode_t mode);
86	int link(const char *oldpath, const char *newpath);
87	int unlink(const char *pathname);
88	int symlink(const char *target, const char *linkpath);
89	ssize_t readlink(const char *restrict pathname, char *restrict buf, size_t bufsiz);
90	int chmod(const char *pathname, mode_t mode);
91	int fchmod(int fd, mode_t mode);
92	int chown(const char *pathname, uid_t owner, gid_t group);
93	int fchown(int fd, uid_t owner, gid_t group);
94	int lchown(const char *pathname, uid_t owner, gid_t group);
95	mode_t umask(mode_t mask);
96	int gettimeofday(struct timeval *restrict tv, struct timezone *_Nullable restrict tz);
97	int getrlimit(int resource, struct rlimit *rlim);
98	int getrusage(int who, struct rusage *usage);
99	int sysinfo(struct sysinfo *info); 
100	clock_t times(struct tms *buf);
101	long ptrace(enum __ptrace_request op, pid_t pid, void *addr, void *data);
102	uid_t getuid(void);
103	int syscall(SYS_syslog, int type, char *bufp, int len);
104	gid_t getgid(void);
105	int setuid(uid_t uid); 
106	int setgid(gid_t gid);
107	uid_t geteuid(void);
108	gid_t getgid(void);
109	int setpgid(pid_t pid, pid_t pgid);
110	pid_t getppid(void);
111	pid_t getpgrp(void);
112	pid_t setsid(void);
113	int setreuid(uid_t ruid, uid_t euid);
114	int setregid(gid_t rgid, gid_t egid);
115	int getgroups(int size, gid_t list[]);
116	int setgroups(size_t size, const gid_t *_Nullable list);
117	int setresuid(uid_t ruid, uid_t euid, uid_t suid);
118	int getresuid(uid_t *ruid, uid_t *euid, uid_t *suid);
119	int setresgid(gid_t rgid, gid_t egid, gid_t sgid);
120	int getresgid(gid_t *rgid, gid_t *egid, gid_t *sgid);
121	pid_t getpgid(pid_t pid);
122	int setfsuid(uid_t fsuid);
123	int setfsgid(gid_t fsgid);
124	pid_t getsid(pid_t pid);
125	int syscall(SYS_capget, cap_user_header_t hdrp, cap_user_data_t datap);
126	int syscall(SYS_capset, cap_user_header_t hdrp, const cap_user_data_t datap);
127	int sigpending(sigset_t *set);
128	int sigtimedwait(const sigset_t *restrict set, siginfo_t *_Nullable restrict info, const struct timespec *restrict timeout);
129	int sigwaitinfo(const sigset_t *restrict set, siginfo_t *_Nullable restrict info);
130	int sigsuspend(const sigset_t *mask);
131	int sigaltstack(const stack_t *_Nullable restrict ss, stack_t *_Nullable restrict old_ss);
132	int utime(const char *filename, const struct utimbuf *_Nullable times);
133	int mknodat(int dirfd, const char *pathname, mode_t mode, dev_t dev);
134	int uselib(const char *library);
135	int personality(unsigned long persona);
136	int ustat(dev_t dev, struct ustat *ubuf);
137	int statfs(const char *path, struct statfs *buf);
138	int fstatfs(int fd, struct statfs *buf);
139	int sysfs(int option, unsigned int fs_index, char *buf);
140	int getpriority(int which, id_t who);
141	int setpriority(int which, id_t who, int prio);
142	int sched_setparam(pid_t pid, const struct sched_param *param); 
143	int sched_getparam(pid_t pid, struct sched_param *param);
144	int sched_setscheduler(pid_t pid, int policy, const struct sched_param *param);
145	int sched_getscheduler(pid_t pid);
146	int sched_get_priority_max(int policy);
147	int sched_get_priority_min(int policy);
148	int sched_rr_get_interval(pid_t pid, struct timespec *tp);
149	int mlock(const void addr[.len], size_t len);
150	int munlock(const void addr[.len], size_t len);
151	int mlockall(int flags);
152	int munlockall(void);
153	int vhangup(void);
154	int syscall(SYS_modify_ldt, int func, void ptr[.bytecount], unsigned long bytecount);
155	int syscall(SYS_pivot_root, const char *new_root, const char *put_old);
156	int _sysctl(struct __sysctl_args *args);
157	int prctl(int op, ...);
158	int syscall(SYS_arch_prctl, int op, unsigned long addr);
159	int adjtimex(struct timex *buf);
160	int setrlimit(int resource, const struct rlimit *rlp);
161	int chroot(const char *path);
162	void sync(void);
163	int acct(const char *_Nullable filename);
164	int settimeofday(const struct timeval *tv, const struct timezone *_Nullable tz);
165	int mount(const char *source, const char *target, const char *filesystemtype, unsigned long mountflags, const void *_Nullable data);
166	int umount2(const char *target, int flags);
167	int swapon(const char *path, int swapflags);
168	int swapoff(const char *path);
169	int syscall(SYS_reboot, int magic, int magic2, int op, void *arg);
170	int gethostname(char *name, size_t len);
171	int setdomainname(const char *name, size_t len);
172	int iopl(int level);
173	int ioperm(unsigned long from, unsigned long num, int turn_on);
174	caddr_t create_module(const char *name, size_t size);
175	int syscall(SYS_finit_module, int fd, const char *param_values, int flags)
176	int syscall(SYS_delete_module, const char *name, unsigned int flags);
177	int get_kernel_syms(struct kernel_sym *table);
178	 int query_module(const char *name, int which, void buf[.bufsize], size_t bufsize, size_t *ret);
179	int quotactl(int op, const char *_Nullable special, int id, caddr_t addr);
180	long nfsservctl(int cmd, struct nfsctl_arg *argp, union nfsctl_res *resp);
181	int getpmsg(int fildes, struct strbuf *restrict ctlptr, struct strbuf *restrict dataptr, int *restrict bandp, int *restrict flagsp);
182	int putmsg(int fildes, const struct strbuf *ctlptr, const struct strbuf *dataptr, int flags);
183	int notimplementedI(int arg1, int arg2, int arg3);
184	int notimplementedI(int arg1, int arg2, int arg3);
185	int notimplementedI(int arg1, int arg2, int arg3);
186	pid_t gettid(void);
187	ssize_t readahead(int fd, off_t offset, size_t count);
188	int setxattr(const char *path, const char *name, const void value[.size], size_t size, int flags);
189	int lsetxattr(const char *path, const char *name, const void value[.size], size_t size, int flags);
190	int fsetxattr(int fd, const char *name, const void value[.size], size_t size, int flags);
191	ssize_t getxattr(const char *path, const char *name, void value[.size], size_t size);
192	ssize_t lgetxattr(const char *path, const char *name, void value[.size], size_t size);
193	ssize_t fgetxattr(int fd, const char *name, void value[.size], size_t size);
194	ssize_t listxattr(const char *path, char *_Nullable list, size_t size);
195	ssize_t llistxattr(const char *path, char *_Nullable list, size_t size);
196	ssize_t flistxattr(int fd, char *_Nullable list, size_t size);
197	int removexattr(const char *path, const char *name);
198	int lremovexattr(const char *path, const char *name);
199	int fremovexattr(int fd, const char *name);
200	int tgkill(pid_t tgid, pid_t tid, int sig);
201	time_t time(time_t *_Nullable tloc);
202	long syscall(SYS_futex, uint32_t *uaddr, int futex_op, uint32_t val, const struct timespec *timeout,   /* or: uint32_t val2 */ uint32_t *uaddr2, uint32_t val3);
203	int sched_setaffinity(pid_t pid, size_t cpusetsize, const cpu_set_t *mask);
204	int sched_getaffinity(pid_t pid, size_t cpusetsize, cpu_set_t *mask);
205	int syscall(SYS_set_thread_area, struct user_desc *u_info);
206	long io_setup(unsigned int nr_events, aio_context_t *ctx_idp);
207	int syscall(SYS_io_destroy, aio_context_t ctx_id);
208	int syscall(SYS_io_getevents, aio_context_t ctx_id, long min_nr, long nr, struct io_event *events, struct timespec *timeout);
209	int io_submit(aio_context_t ctx_id, long nr, struct iocb **iocbpp);
210	int syscall(SYS_io_cancel, aio_context_t ctx_id, struct iocb *iocb, struct io_event *result);
211	int syscall(SYS_get_thread_area, struct user_desc *u_info);
212	int syscall(SYS_lookup_dcookie, uint64_t cookie, char *buffer, size_t len);
213	int epoll_create(int size);
214	int nomanpage(int arg1, int arg2, int arg3);
215	int nomanpage(int arg1, int arg2, int arg3);
216	int remap_file_pages(void addr[.size], size_t size, int prot, size_t pgoff, int flags);
217	long syscall(SYS_getdents, unsigned int fd, struct linux_dirent *dirp, unsigned int count);
218	pid_t syscall(SYS_set_tid_address, int *tidptr);
219	long restart_syscall(void);
220	int semtimedop(int semid, struct sembuf *sops, size_t nsops, const struct timespec *_Nullable timeout);
221	int posix_fadvise(int fd, off_t offset, off_t len, int advice);
222	int timer_create(clockid_t clockid, struct sigevent *_Nullable restrict sevp, timer_t *restrict timerid);
223	int timer_settime(timer_t timerid, int flags, const struct itimerspec *restrict new_value, struct itimerspec *_Nullable restrict old_value);
224	int timer_gettime(timer_t timerid, struct itimerspec *curr_value);
225	int timer_getoverrun(timer_t timerid);
226	int timer_delete(timer_t timerid);
227	int clock_settime(clockid_t clockid, const struct timespec *tp);
228	int clock_gettime(clockid_t clockid, struct timespec *tp);
229	int clock_getres(clockid_t clockid, struct timespec *res);
230	int clock_nanosleep(clockid_t clockid, int flags, const struct timespec *t, struct timespec *_Nullable remain);
231	void syscall(SYS_exit_group, int status);
232	int epoll_wait(int epfd, struct epoll_event *events, int maxevents, int timeout);
233	int epoll_ctl(int epfd, int op, int fd, struct epoll_event *_Nullable event);
234	int tgkill(pid_t tgid, pid_t tid, int sig);
235	int utime(const char *filename, const struct utimbuf *_Nullable times);
236	int notimplementedI(int arg1, int arg2, int arg3);
237	long mbind(void addr[.len], unsigned long len, int mode, const unsigned long nodemask[(.maxnode + ULONG_WIDTH - 1) / ULONG_WIDTH], unsigned long maxnode, unsigned int flags);
238	long set_mempolicy(int mode, const unsigned long *nodemask, unsigned long maxnode);
239	long get_mempolicy(int *mode, unsigned long nodemask[(.maxnode + ULONG_WIDTH - 1) / ULONG_WIDTH], unsigned long maxnode, void *addr, unsigned long flags);
240	mqd_t mq_open(const char *name, int oflag, mode_t mode, struct mq_attr *attr);
241	int mq_unlink(const char *name);
242	int mq_timedsend(mqd_t mqdes, const char *msg_ptr, size_t msg_len, unsigned msg_prio, const struct timespec *abstime);
243	ssize_t mq_timedreceive(mqd_t mqdes, char *restrict msg_ptr, size_t msg_len, unsigned *restrict msg_prio, const struct timespec *restrict abstime);
244	int mq_notify(mqd_t mqdes, const struct sigevent *sevp);
245	int syscall(SYS_mq_getsetattr, mqd_t mqdes, const struct mq_attr *newattr, struct mq_attr *oldattr);
246	long syscall(SYS_kexec_load, unsigned long entry, unsigned long nr_segments, struct kexec_segment *segments, unsigned long flags);
247	int waitid(idtype_t idtype, id_t id, siginfo_t *infop, int options);
248	key_serial_t add_key(const char *type, const char *description, const void payload[.plen], size_t plen, key_serial_t keyring);
249	key_serial_t request_key(const char *type, const char *description, const char *_Nullable callout_info, key_serial_t dest_keyring);
250	long syscall(SYS_keyctl, int operation, unsigned long arg2, unsigned long arg3, unsigned long arg4, unsigned long arg5);
251	int syscall(SYS_ioprio_get, int which, int who);
252	int syscall(SYS_ioprio_set, int which, int who, int ioprio);
253	int inotify_init1(int flags);
254	int inotify_add_watch(int fd, const char *pathname, uint32_t mask);
255	int inotify_rm_watch(int fd, int wd);
256	long migrate_pages(int pid, unsigned long maxnode, const unsigned long *old_nodes, const unsigned long *new_nodes);
257	long syscall(SYS_openat2, int dirfd, const char *pathname, struct open_how *how, size_t size);
258	int mkdirat(int dirfd, const char *pathname, mode_t mode);
259	int mknodat(int dirfd, const char *pathname, mode_t mode, dev_t dev);
260	int fchownat(int fd, const char *path, uid_t owner, gid_t group, int flag);
261	int futimesat(int dirfd, const char *pathname, const struct timeval times[2]);
262	int fstatat(int dirfd, const char *pathname, struct stat *statbuf, int flags);
263	int unlinkat(int dirfd, const char *pathname, int flags);
264	int renameat(int olddirfd, const char *oldpath, int newdirfd, const char *newpath);
265	int linkat(int olddirfd, const char *oldpath, int newdirfd, const char *newpath, int flags);
266	int symlinkat(const char *target, int newdirfd, const char *linkpath);
267	ssize_t readlink(const char *restrict pathname, char *restrict buf, size_t bufsiz);
268	int fchmodat(int fd, const char *path, mode_t mode, int flag);
269	int faccessat(int fd, const char *path, int amode, int flag);
270	int pselect(int nfds, fd_set *restrict readfds, fd_set *restrict writefds, fd_set *restrict errorfds, const struct timespec *restrict timeout, const sigset_t *restrict sigmask);
271	int ppoll(struct pollfd *fds, nfds_t nfds, const struct timespec *_Nullable tmo_p, const sigset_t *_Nullable sigmask);
272	int unshare(int flags);
273	long syscall(SYS_set_robust_list, struct robust_list_head *head, size_t len);
274	long syscall(SYS_get_robust_list, int pid, struct robust_list_head **head_ptr, size_t *len_ptr);
275	ssize_t splice(int fd_in, off_t *_Nullable off_in, int fd_out, off_t *_Nullable off_out, size_t len, unsigned int flags);
276	ssize_t tee(int fd_in, int fd_out, size_t len, unsigned int flags);
277	int sync_file_range(int fd, off_t offset, off_t nbytes, unsigned int flags);
278	ssize_t vmsplice(int fd, const struct iovec *iov, size_t nr_segs, unsigned int flags);
279	long move_pages(int pid, unsigned long count, void *pages[.count], const int nodes[.count], int status[.count], int flags);
280	int utimensat(int dirfd, const char *pathname, const struct timespec times[_Nullable 2], int flags);
281	int epoll_pwait(int epfd, struct epoll_event *events, int maxevents, int timeout, const sigset_t *_Nullable sigmask);
282	int signalfd(int fd, const sigset_t *mask, int flags);
283	int timerfd_create(int clockid, int flags);
284	int eventfd(unsigned int initval, int flags);
285	int fallocate(int fd, int mode, off_t offset, off_t len);
286	int timerfd_settime(int fd, int flags, const struct itimerspec *new_value, struct itimerspec *_Nullable old_value);
287	int timerfd_gettime(int fd, struct itimerspec *curr_value);
288	int accept4(int sockfd, struct sockaddr *restrict addr, socklen_t *restrict addrlen, int flags);
289	int signalfd(int fd, const sigset_t *mask, int flags);
290	int eventfd(unsigned int initval, int flags);
291	int epoll_create1(int flags);
292	int dup3(int oldfd, int newfd, int flags);
293	int pipe2(int pipefd[2], int flags);
294	int inotify_init1(int flags);
295	ssize_t preadv(int fd, const struct iovec *iov, int iovcnt, off_t offset);
296	ssize_t pwritev(int fd, const struct iovec *iov, int iovcnt, off_t offset);
297	int syscall(SYS_rt_tgsigqueueinfo, pid_t tgid, pid_t tid, int sig, siginfo_t *info);
298	int syscall(SYS_perf_event_open, struct perf_event_attr *attr, pid_t pid, int cpu, int group_fd, unsigned long flags);
299	int recvmmsg(int sockfd, struct mmsghdr *msgvec, unsigned int vlen, int flags, struct timespec *timeout);
300	int fanotify_init(unsigned int flags, unsigned int event_f_flags);
301	int fanotify_mark(int fanotify_fd, unsigned int flags, uint64_t mask, int dirfd, const char *_Nullable pathname);
302	int prlimit(pid_t pid, int resource, const struct rlimit *_Nullable new_limit, struct rlimit *_Nullable old_limit);
303	int name_to_handle_at(int dirfd, const char *pathname, struct file_handle *handle, int *mount_id, int flags);
304	int open_by_handle_at(int mount_fd, struct file_handle *handle, int flags);
305	int clock_adjtime(clockid_t clk_id, struct timex *buf);
306	int syncfs(int fd);
307	int sendmmsg(int sockfd, struct mmsghdr *msgvec, unsigned int vlen, int flags);
308	int setns(int fd, int nstype);
309	int getcpu(unsigned int *_Nullable cpu, unsigned int *_Nullable node);
310	ssize_t process_vm_readv(pid_t pid, const struct iovec *local_iov, unsigned long liovcnt, const struct iovec *remote_iov, unsigned long riovcnt, unsigned long flags);
311	ssize_t process_vm_writev(pid_t pid, const struct iovec *local_iov, unsigned long liovcnt, const struct iovec *remote_iov, unsigned long riovcnt, unsigned long flags);
312	int syscall(SYS_kcmp, pid_t pid1, pid_t pid2, int type, unsigned long idx1, unsigned long idx2);
313	int syscall(SYS_finit_module, int fd, const char *param_values, int flags);
314	int syscall(SYS_sched_setattr, pid_t pid, struct sched_attr *attr, unsigned int flags);
315	int syscall(SYS_sched_getattr, pid_t pid, struct sched_attr *attr, unsigned int size, unsigned int flags);
316	int renameat2(int olddirfd, const char *oldpath, int newdirfd, const char *newpath, unsigned int flags);
317	int syscall(SYS_seccomp, unsigned int operation, unsigned int flags, void *args);
318	ssize_t getrandom(void buf[.buflen], size_t buflen, unsigned int flags);
319	int memfd_create(const char *name, unsigned int flags);
320	long syscall(SYS_kexec_load, unsigned long entry, unsigned long nr_segments, struct kexec_segment *segments, unsigned long flags);
321	int bpf(int cmd, union bpf_attr *attr, unsigned int size);
322	int execveat(int dirfd, const char *pathname, char *const _Nullable argv[], char *const _Nullable envp[], int flags);
323	int syscall(SYS_userfaultfd, int flags);
324	int syscall(SYS_membarrier, int cmd, unsigned int flags, int cpu_id);
325	int mlock2(const void addr[.len], size_t len, unsigned int flags);
326	ssize_t copy_file_range(int fd_in, off_t *_Nullable off_in, int fd_out, off_t *_Nullable off_out, size_t len, unsigned int flags);
327	ssize_t readv(int fd, const struct iovec *iov, int iovcnt);
328	ssize_t writev(int fd, const struct iovec *iov, int iovcnt);
329	int pkey_mprotect(void addr[.len], size_t len, int prot, int pkey);
330	int pkey_alloc(unsigned int flags, unsigned int access_rights);
331	int pkey_free(int pkey);
332	int statx(int dirfd, const char *restrict pathname, int flags, unsigned int mask, struct statx *restrict statxbuf);
